fix.acid,vol.acid,citric,sugar,chlorides,free.sd,total.sd,density,pH,sulphates,alcohol,label
5.8,0.13,0.26,5.1,0.039,19,103,2,3.36,0.47,9.3,GOOD
7.3,0.25,0.39,6.4,0.034,8,84,2,3.18,0.46,11.5,BAD
7.4,0.19,0.3,12.8,0.053,48.5,229,2,3.14,0.49,9.1,GOOD
6.6,0.61,0.01,1.9,0.08,8,25,2,3.69,0.73,10.5,BAD
6.3,0.76,0,2.9,0.072,26,52,2,3.51,0.6,11.5,GOOD
6.5,0.18,0.31,1.7,0.044,30,127,2,3.49,0.5,10.2,GOOD
7.9,0.34,0.44,6.5,0.027,47,126,2,2.96,0.37,12.5,GOOD
5.1,0.42,0,1.8,0.044,18,88,2,3.68,0.73,13.6,GOOD
6.9,0.2,0.28,1.2,0.048,36,159,2,3.19,0.43,9.1,GOOD
11.5,0.45,0.5,3,0.078,19,47,3,3.26,1.11,11,GOOD
6.9,1.09,0.06,2.1,0.061,12,31,2,3.51,0.43,11.4,BAD
9.7,0.32,0.54,2.5,0.094,28,83,2,3.28,0.82,9.6,BAD
11,0.3,0.58,2.1,0.054,7,19,2,3.31,0.88,10.5,GOOD
8.3,0.2,0.74,4.45,0.044,33,130,2,3.25,0.42,12.2,GOOD
6.1,0.22,0.5,6.6,0.045,30,122,2,3.22,0.49,9.9,GOOD
7.9,0.49,0.32,1.9,0.082,17,144,2,3.2,0.55,9.5,BAD
7.1,0.18,0.74,15.6,0.044,44,176,2,3.38,0.67,9,GOOD
4.9,0.345,0.34,1,0.068,32,143,2,3.24,0.4,10.1,BAD
6.1,0.36,0.27,2.1,0.035,16,100,2,3.4,0.71,11.5,GOOD
7.4,0.105,0.34,12.2,0.05,57,146,2,3.16,0.37,9,GOOD
6.8,0.65,0.02,2.1,0.078,8,15,2,3.35,0.62,10.4,GOOD
5.6,0.2,0.22,1.3,0.049,25,155,2,3.74,0.43,10,BAD
5.5,0.19,0.27,0.9,0.04,52,103,2,3.5,0.39,11.2,BAD
6.4,0.15,0.29,1.8,0.044,21,115,2,3.1,0.38,10.2,BAD
7.6,0.51,0.15,2.8,0.11,33,73,2,3.17,0.63,10.2,GOOD
7.3,0.695,0,2.5,0.075,3,13,2,3.49,0.52,9.2,BAD
7.6,0.17,0.46,0.9,0.036,63,147,2,3.02,0.41,10.7,GOOD
6.4,0.37,0.37,4.85,0.041,39.5,216.5,2,3.1,0.5,9.8,GOOD
5.8,0.25,0.28,11.1,0.056,45,175,2,3.42,0.43,9.5,BAD
8.6,0.26,0.41,2.2,0.049,29,111,2,2.96,0.44,10,BAD
8.4,0.31,0.29,3.1,0.194,14,26,2,3.22,0.78,12,GOOD
13.2,0.46,0.52,2.2,0.071,12,35,3,3.1,0.56,9,GOOD
7,0.46,0.39,6.2,0.039,46,163,2,3.21,0.35,12.2,GOOD
6.8,0.27,0.42,7.3,0.054,58,200,2,3.12,0.49,9.4,GOOD
5.1,0.35,0.26,6.8,0.034,36,120,2,3.38,0.4,11.5,GOOD
8.4,0.17,0.31,5.4,0.052,47,150,2,3.24,0.38,9.8,BAD
9.4,0.24,0.33,2.3,0.061,52,73,2,3.47,0.9,10.2,GOOD
7.5,0.24,0.31,13.1,0.05,26,180,2,3.05,0.53,9.1,GOOD
7.6,0.18,0.46,10.2,0.055,58,135,2,3.14,0.43,9.9,GOOD
6.9,0.33,0.31,7.7,0.04,29,135,2,3.11,0.57,12.3,BAD
7.2,0.23,0.38,6.1,0.067,20,90,2,3.17,0.79,9.7,BAD
11.6,0.47,0.44,1.6,0.147,36,51,2,3.38,0.86,9.9,BAD
5.6,0.605,0.05,2.4,0.073,19,25,2,3.56,0.55,12.9,BAD
7.4,0.33,0.26,15.6,0.049,67,210,2,3.06,0.68,9.5,BAD
7.1,0.6,0,1.8,0.074,16,34,2,3.47,0.7,9.9,GOOD
6.3,0.27,0.23,2.9,0.047,13,100,2,3.28,0.43,9.8,BAD
6.8,0.27,0.3,13,0.047,69,160,2,3.16,0.5,9.6,GOOD
6.1,0.32,0.25,1.7,0.034,37,136,2,3.47,0.5,10.8,GOOD
6.5,0.51,0.25,1.7,0.048,39,177,2,3.28,0.57,10.5666666666667,BAD
6.6,0.23,0.32,1.5,0.041,8,72,1,3.22,0.39,12.7,GOOD
7.3,0.21,0.33,1,0.037,66,144,2,3.11,0.52,10.2,GOOD
7,0.47,0.07,1.1,0.035,17,151,2,3.02,0.34,10.5,BAD
6.8,0.28,0.29,11.9,0.052,51,149,2,3.02,0.58,10.4,GOOD
7.6,0.38,0.2,3.4,0.046,9,116,2,3.15,0.41,9.4,BAD
10.2,0.44,0.58,4.1,0.092,11,24,2,3.29,0.99,12,GOOD
7.3,0.25,0.41,1.8,0.037,52,165,2,3.29,0.39,12.2,GOOD
6.4,0.26,0.21,8.2,0.05,51,182,2,3.23,0.48,9.5,BAD
8.2,0.3,0.44,12.4,0.043,52,154,2,3.04,0.33,12,GOOD
8.2,0.43,0.29,1.6,0.081,27,45,2,3.25,0.54,10.3,BAD
8.3,0.28,0.45,7.8,0.059,32,139,2,3.33,0.77,11.2,GOOD
8.9,0.24,0.39,1.6,0.074,3,10,2,3.12,0.59,9.5,GOOD
7.5,0.28,0.34,4.2,0.028,36,116,2,2.99,0.41,12.3,GOOD
9,0.55,0.3,8.1,0.026,14,71,2,2.94,0.36,11.8,BAD
4.6,0.445,0,1.4,0.053,11,178,2,3.79,0.55,10.2,BAD
5.8,0.36,0.26,3.3,0.038,40,153,2,3.34,0.55,11.3,GOOD
7.2,0.635,0.07,2.6,0.077,16,86,2,3.51,0.54,9.7,BAD
7.1,0.37,0.32,1.4,0.037,27,126,2,3.19,0.62,12,BAD
6.3,0.2,0.58,1.4,0.204,15,97,2,3.16,0.43,10,GOOD
5.8,0.3,0.33,3.5,0.033,25,116,2,3.2,0.44,11.7,GOOD
6.2,0.29,0.29,5.6,0.046,35,178,2,3.25,0.51,10.5333333333333,BAD
6.3,0.3,0.34,1.6,0.049,14,132,2,3.3,0.49,9.5,GOOD
6.7,0.27,0.69,1.2,0.176,36,106,2,2.96,0.43,9.2,GOOD
6.7,0.54,0.13,2,0.076,15,36,2,3.61,0.64,9.8,BAD
6.9,0.25,0.26,5.2,0.024,36,135,2,3.16,0.72,10.7,GOOD
6.6,0.27,0.33,1.4,0.042,24,183,2,3.29,0.46,10.7,BAD
7.7,0.28,0.35,15.3,0.056,31,117,2,3.27,0.5,9.6,BAD
10,0.26,0.54,1.9,0.083,42,74,2,2.98,0.63,11.8,GOOD
8,0.27,0.24,1.2,0.044,20,102,2,3.28,0.42,10.9,BAD
6.1,0.34,0.25,1.8,0.084,4,28,2,3.36,0.44,10.1,BAD
8,0.19,0.3,2,0.053,48,140,2,3.18,0.49,9.6,GOOD
6.1,0.28,0.25,17.75,0.044,48,161,2,3.34,0.48,9.5,BAD
6.3,0.22,0.57,1.4,0.208,14,96,2,3.16,0.43,10,GOOD
6.5,0.24,0.39,17.3,0.052,22,126,2,3.11,0.47,9.2,GOOD
6.1,0.16,0.27,12.6,0.064,63,162,2,3.66,0.43,8.9,BAD
7.2,0.38,0.3,1.8,0.073,31,70,2,3.42,0.59,9.5,GOOD
7.1,0.26,0.29,12.4,0.044,62,240,2,3.04,0.42,9.2,GOOD
6.3,0.25,0.23,14.9,0.039,47,142,2,3.14,0.35,9.7,GOOD
6.5,0.25,0.5,7.6,0.047,54,184,2,3.17,0.45,9.2,BAD
8.4,0.36,0.32,2.2,0.081,32,79,2,3.3,0.72,11,GOOD
7.1,0.46,0.2,1.9,0.077,28,54,2,3.37,0.64,10.4,GOOD
7.9,0.46,0.4,10.1,0.168,19,184,2,3.06,0.62,9.5,BAD
9.1,0.29,0.33,2.05,0.063,13,27,2,3.26,0.84,11.7,GOOD
7.2,0.32,0.24,5.6,0.033,23,120,2,2.92,0.66,10.3,GOOD
7.1,0.25,0.32,10.3,0.041,66,272,2,3.17,0.52,9.1,GOOD
8.3,0.26,0.42,2,0.08,11,27,2,3.21,0.8,9.4,GOOD
7.2,0.39,0.54,1.4,0.157,34,132,2,3.11,0.53,9,GOOD
5.8,0.25,0.24,13.3,0.044,41,137,2,3.34,0.42,9.5,BAD
6.5,0.19,0.28,1.4,0.046,22,90,2,3.18,0.51,11.7,GOOD
9.9,0.54,0.45,2.3,0.071,16,40,2,3.39,0.62,9.4,BAD
8.9,0.84,0.34,1.4,0.05,4,10,2,3.12,0.48,9.1,GOOD
6.7,0.24,0.33,12.3,0.046,31,145,2,3.36,0.4,9.5,BAD
6.5,0.885,0,2.3,0.166,6,12,2,3.56,0.51,10.8,BAD
6.8,0.21,0.55,14.6,0.053,34,159,2,2.93,0.44,9.2,BAD
6.6,0.22,0.37,15.4,0.035,62,153,2,3.02,0.4,9.3,BAD
6.5,0.19,0.27,4.9,0.037,13,101,2,3.17,0.41,11.8,GOOD
6.4,0.28,0.28,3,0.04,19,98,2,3.25,0.47,11.1,GOOD
7.8,0.5,0.09,2.2,0.115,10,42,2,3.18,0.62,9.5,BAD
5.9,0.19,0.21,1.7,0.045,57,135,2,3.32,0.44,9.5,BAD
6.5,0.36,0.36,6.7,0.185,51.5,151,2,3.17,0.42,9.3,BAD
9.1,0.3,0.34,2,0.064,12,25,2,3.26,0.84,11.7,GOOD
6.6,0.855,0.02,2.4,0.062,15,23,2,3.54,0.6,11,GOOD
6,0.26,0.29,1,0.032,27,96,1,3.38,0.44,12.3,GOOD
10.8,0.89,0.3,2.6,0.132,7,60,2,2.99,1.18,10.2,BAD
6.4,0.25,0.57,1,0.062,21,122,2,3,0.4,9.5,BAD
7.7,0.26,0.32,1.2,0.04,26,117,2,3.21,0.56,10.8,BAD
6.8,0.28,0.34,7.5,0.035,34,177,2,3.33,0.43,9.1,BAD
6.4,0.26,0.43,12.6,0.033,64,230,2,3.08,0.38,8.9,BAD
6.3,0.48,0.48,1.8,0.035,35,96,2,3.49,0.74,12.2,GOOD
8.2,0.73,0.21,1.7,0.074,5,13,2,3.2,0.52,9.5,BAD
6.5,0.23,0.36,16.3,0.038,43,133,2,3.26,0.41,8.8,BAD
6.7,0.15,0.29,5,0.058,28,105,2,3.52,0.44,10.2,GOOD
6.6,0.32,0.36,8,0.047,57,168,2,3.15,0.46,9.6,BAD
6.8,0.11,0.42,1.1,0.042,51,132,2,3.18,0.74,11.3,GOOD
6.5,0.17,0.54,8.5,0.082,64,163,2,2.89,0.39,8.8,GOOD
7,0.24,0.34,3,0.035,36,102,2,3.18,0.43,12.2,GOOD
6.1,0.27,0.32,1.1,0.034,24,110,1,3.36,0.4,12.5,GOOD
7.4,0.3,0.49,8.2,0.055,49,188,2,3.52,0.58,9.7,GOOD
6.3,0.55,0.45,13,0.047,33,182,2,3.2,0.46,9.2,GOOD
7,0.24,0.26,1.7,0.041,31,110,2,3.2,0.53,11,GOOD
6.1,0.27,0.3,16.7,0.039,49,172,2,3.4,0.45,9.4,BAD
7.5,0.31,0.51,14.8,0.039,62,204,2,3.06,0.6,9.5,BAD
7.2,0.4,0.24,8.5,0.055,45,151,2,3.2,0.52,9.2,BAD
6.1,0.3,0.32,2.2,0.042,41,142,1,3.31,0.44,12.7,GOOD
6,0.26,0.26,2.2,0.035,10,72,1,3.11,0.48,12.15,GOOD
8,0.24,0.3,17.45,0.056,43,184,2,3.05,0.5,9.2,GOOD
7.8,0.22,0.26,9,0.047,38,132,2,3.25,0.53,10.2,GOOD
6.1,0.38,0.42,5,0.016,31,113,2,3.15,0.31,12.4,GOOD
6.5,0.15,0.44,12.6,0.052,65,158,2,3.26,0.7,10.3,GOOD
6.8,0.25,0.18,1.4,0.056,13,137,2,3.11,0.42,9.5,BAD
7.1,0.36,0.37,4.8,0.019,39,114,2,3.08,0.49,12.7,GOOD
6.2,0.25,0.25,1.4,0.03,35,105,2,3.3,0.44,11.1,GOOD
6.9,0.29,0.4,19.45,0.043,36,156,2,2.93,0.47,8.9,BAD
6.6,0.36,0.52,10.1,0.05,29,140,2,3.07,0.4,9.4,BAD
7,0.65,0.02,2.1,0.066,8,25,2,3.47,0.67,9.5,GOOD
6.7,0.25,0.13,1.2,0.041,81,174,2,3.14,0.42,9.8,BAD
7.2,0.835,0,2,0.166,4,11,2,3.39,0.52,10,BAD
7.6,0.49,0.33,1.9,0.074,27,85,2,3.41,0.58,9,BAD
7.8,0.815,0.01,2.6,0.074,48,90,2,3.38,0.62,10.8,BAD
5.5,0.485,0,1.5,0.065,8,103,2,3.63,0.4,9.7,BAD
9.5,0.42,0.41,2.3,0.034,22,145,2,3.06,0.52,11,GOOD
7.5,0.27,0.34,2.3,0.05,4,8,2,3.4,0.64,11,GOOD
5.8,0.22,0.29,0.9,0.034,34,89,1,3.14,0.36,11.1,GOOD
7.9,0.37,0.3,2.7,0.029,64,158,2,3.12,0.59,12,GOOD
6.5,0.26,0.32,6.65,0.059,34,104,2,3.18,0.42,11.1,BAD
8.3,0.53,0,1.4,0.07,6,14,2,3.25,0.64,10,GOOD
6.9,0.56,0.26,10.9,0.06,55,193,2,3.21,0.44,9.4,BAD
7.3,0.42,0.38,6.8,0.045,29,122,2,3.19,0.37,12.6,GOOD
10,0.38,0.38,1.6,0.169,27,90,2,3.15,0.65,8.5,BAD
7.3,0.26,0.33,11.8,0.057,48,127,2,3.1,0.55,10,GOOD
6.6,0.31,0.28,1.4,0.035,28,107,1,3,0.4,13.2,GOOD
6.9,0.16,0.37,1.8,0.034,36,95,1,2.93,0.59,12,GOOD
7.7,0.28,0.58,12.1,0.046,60,177,2,3.08,0.46,8.9,BAD
7.1,0.55,0.13,1.7,0.073,21,165,2,2.97,0.58,9.2,GOOD
7.4,0.25,0.36,13.2,0.067,53,178,2,3.01,0.48,9,GOOD
6,0.18,0.27,1.5,0.089,40,143,2,3.49,0.62,10.8,GOOD
4.2,0.17,0.36,1.8,0.029,93,161,1,3.65,0.89,12,GOOD
10.4,0.52,0.45,2,0.08,6,13,2,3.22,0.76,11.4,GOOD
6.4,0.32,0.25,5,0.055,28,138,2,3.27,0.5,12.4,GOOD
6,0.54,0.06,1.8,0.05,38,89,2,3.3,0.5,10.55,GOOD
5.6,0.19,0.46,1.1,0.032,33,115,2,3.36,0.5,10.4,GOOD
7.3,0.65,0,1.2,0.065,15,21,2,3.39,0.47,10,GOOD
7.6,0.31,0.29,10.5,0.04,21,145,2,3.04,0.35,9.4,BAD
6.3,0.23,0.33,1.5,0.036,15,105,2,3.32,0.42,11.2,GOOD
7.4,0.16,0.49,1.2,0.055,18,150,2,3.23,0.47,11.2,GOOD
7.2,0.2,0.3,2,0.039,43,188,2,3.3,0.41,12,GOOD
6,0.29,0.41,10.8,0.048,55,149,2,3.09,0.59,10.9666666666667,GOOD
6.7,0.26,0.29,5.8,0.025,26,74,2,3.28,0.53,11,GOOD
7.3,0.41,0.29,1.8,0.032,26,74,1,2.96,0.35,13,GOOD
9.1,0.76,0.68,1.7,0.414,18,64,2,2.9,1.33,9.1,GOOD
7.5,0.49,0.19,1.9,0.076,10,44,2,3.39,0.54,9.7,BAD
6.2,0.16,0.33,1.1,0.057,21,82,2,3.32,0.46,10.9,GOOD
7.6,0.345,0.26,1.9,0.043,15,134,2,3.08,0.38,9.5,BAD
6.8,0.26,0.43,11.75,0.045,53,198,2,3.26,0.55,9.5,BAD
6.9,0.22,0.37,15,0.053,59,178,2,3.37,0.82,9.5,GOOD
8.2,0.34,0.29,5.2,0.076,19,92,2,2.95,0.39,12.5,GOOD
6.3,0.24,0.29,1.6,0.052,48,185,2,3.21,0.5,9.4,BAD
6.6,0.34,0.4,8.1,0.046,68,170,2,3.15,0.5,9.55,GOOD
7.5,0.57,0.02,2.6,0.077,11,35,2,3.36,0.62,10.8,GOOD
7.2,0.26,0.24,7,0.023,19,130,2,3.14,0.49,12.8,GOOD
11.6,0.475,0.4,1.4,0.091,6,28,2,3.07,0.65,10.0333333333333,GOOD
6.2,0.38,0.18,7.4,0.095,28,195,2,3.53,0.71,9.2,BAD
6,0.14,0.37,1.2,0.032,63,148,2,3.32,0.44,11.2,BAD
7,0.21,0.28,8.7,0.045,37,222,2,3.25,0.54,10.4,GOOD
6.7,0.3,0.29,2.8,0.025,37,107,2,3.31,0.63,11.3,GOOD
11.5,0.18,0.51,4,0.104,4,23,2,3.28,0.97,10.1,GOOD
6.9,0.4,0.17,12.9,0.033,59,186,2,3.08,0.49,9.4,BAD
8.2,0.885,0.2,1.4,0.086,7,31,2,3.11,0.46,10,BAD
12,0.38,0.56,2.1,0.093,6,24,2,3.14,0.71,10.9,GOOD
6.4,0.24,0.25,20.2,0.083,35,157,2,3.17,0.5,9.1,BAD
8.1,0.2,0.49,8.1,0.051,51,205,2,3.1,0.52,11,GOOD
7.6,0.36,0.31,1.7,0.079,26,65,2,3.46,0.62,9.5,GOOD
7.3,0.13,0.32,14.4,0.051,34,109,2,3.2,0.35,9.2,GOOD
7.8,0.2,0.28,10.2,0.054,78,186,2,3.14,0.46,10,GOOD
6.6,0.24,0.28,6.7,0.032,26,91,2,3.13,0.32,12.3,GOOD
9.6,0.25,0.54,1.3,0.04,16,160,2,2.94,0.43,10.5,BAD
6.9,0.3,0.36,0.9,0.037,40,156,1,3.08,0.36,12.1,GOOD
7.2,0.18,0.45,4.4,0.046,57,166,2,3.13,0.62,11.2,GOOD
7.6,0.27,0.52,3.2,0.043,28,152,2,3.02,0.53,11.4,GOOD
5.4,0.835,0.08,1.2,0.046,13,93,2,3.57,0.85,13,GOOD
5.9,0.55,0.1,2.2,0.062,39,51,2,3.52,0.76,11.2,GOOD
7.1,0.15,0.34,5.3,0.034,33,104,2,3.37,0.52,9.3,GOOD
5,0.33,0.16,1.5,0.049,10,97,2,3.48,0.44,10.7,GOOD
7.2,0.19,0.27,11.2,0.061,46,149,2,2.99,0.59,9.3,GOOD
7.3,0.735,0,2.2,0.08,18,28,2,3.41,0.6,9.4,BAD
6.6,0.5,0.01,1.5,0.06,17,26,2,3.4,0.58,9.8,GOOD
7.2,0.21,0.31,10.5,0.035,36,122,2,3.12,0.4,10.6,GOOD
6.8,0.19,0.32,7.6,0.049,37,107,2,3.12,0.44,10.7,GOOD
6.3,0.24,0.37,1.8,0.031,6,61,1,3.3,0.34,12.2,BAD
7.4,0.36,0.34,1.8,0.075,18,38,2,3.38,0.88,13.6,GOOD
8.5,0.16,0.33,1,0.076,17,57,2,3.14,0.46,10.6,GOOD
7.9,0.28,0.41,2,0.044,50,152,2,3.45,0.49,10.7,GOOD
6.3,0.32,0.32,1.5,0.037,12,76,1,3.3,0.46,12.3,GOOD
6.1,0.18,0.38,2.3,0.033,28,111,1,3.16,0.49,12.4,GOOD
15.6,0.685,0.76,3.7,0.1,6,43,3,2.95,0.68,11.2,GOOD
6.7,0.16,0.32,12.5,0.035,18,156,2,2.88,0.36,9,GOOD
7.3,0.155,0.49,1.3,0.039,34,136,2,3.14,0.77,10.5,GOOD
6.4,0.21,0.21,5.1,0.097,21,105,2,3.07,0.46,9.6,BAD
6.7,0.31,0.3,2.4,0.038,30,83,1,3.09,0.36,12.8,GOOD
5.5,0.31,0.29,3,0.027,16,102,2,3.23,0.56,11.2,GOOD
7.1,0.28,0.26,2.8,0.039,50,118,2,3.06,0.59,11.2,GOOD
7.4,0.24,0.42,14,0.066,48,198,2,2.89,0.42,8.9,GOOD
6.5,0.32,0.12,11.5,0.033,35,165,2,3.22,0.32,9,BAD
6.3,0.13,0.42,1.1,0.043,63,146,2,3.13,0.72,11.2,GOOD
8.3,0.3,0.36,10,0.042,33,169,2,3.23,0.51,9.3,GOOD
6.8,0.22,0.3,13.6,0.055,50,180,2,3.44,0.39,9.8,BAD
6.7,0.31,0.09,1.4,0.039,53,141,2,3.12,0.44,10.1,BAD
6.4,0.24,0.26,8.2,0.054,47,182,2,3.12,0.5,9.5,BAD
8.5,0.19,0.56,17.3,0.055,47,169,3,3.07,0.67,9.3,GOOD
7.4,0.2,0.37,16.95,0.048,43,190,2,3.03,0.42,9.2,GOOD
6.1,0.34,0.46,4.7,0.029,21,94,2,3.29,0.62,12.3,GOOD
6.9,0.22,0.43,6.4,0.042,34,115,2,3.05,0.51,10.8,GOOD
6.1,0.6,0.12,1.8,0.05,11,76,2,3.42,0.48,10.4,BAD
6.8,0.18,0.28,9.8,0.039,29,113,2,3.11,0.45,10.9,GOOD
5.3,0.31,0.38,10.5,0.031,53,140,2,3.34,0.46,11.7,GOOD
7.1,0.32,0.34,14.5,0.039,46,150,2,3.38,0.5,12.5,GOOD
12.4,0.42,0.49,4.6,0.073,19,43,2,3.02,0.61,9.5,BAD
6.1,0.3,0.47,1.4,0.049,50,187,2,3.19,0.45,9.5,BAD
7.5,0.21,0.68,10.9,0.045,38,133,2,3,0.36,8.7,BAD
6.2,0.25,0.42,8,0.049,53,206,2,3.16,0.47,9.1,GOOD
10.6,1.025,0.43,2.8,0.08,21,84,2,3.06,0.57,10.1,BAD
6.8,0.56,0.22,1.8,0.074,15,24,2,3.4,0.82,11.2,GOOD
8.4,0.18,0.42,5.1,0.036,7,77,2,3.16,0.52,11.7,BAD
6,0.2,0.26,1.1,0.033,38,67,1,3.14,0.38,11.5,GOOD
6.3,0.39,0.08,1.7,0.066,3,20,2,3.34,0.58,9.4,BAD
11.5,0.35,0.49,3.3,0.07,10,37,3,3.32,0.91,11,GOOD
7.6,0.39,0.46,11.7,0.084,55,170,2,2.91,0.51,9,BAD
10.8,0.45,0.33,2.5,0.099,20,38,2,3.24,0.71,10.8,BAD
5.8,0.24,0.39,1.5,0.054,37,158,2,3.21,0.52,9.3,GOOD
5.9,0.22,0.18,6.4,0.041,28,120,2,3.27,0.5,9.9,BAD
6.2,0.15,0.27,1.4,0.041,51,117,2,3.28,0.38,11.2,GOOD
6.5,0.18,0.26,1.4,0.041,40,141,2,3.34,0.72,9.5,GOOD
7.1,0.13,0.4,1.2,0.047,54,134,2,3.3,0.97,9.8,GOOD
7.5,0.18,0.72,9.6,0.039,53,151,2,3.03,0.46,8.9,BAD
7,0.12,0.29,10.3,0.039,41,98,2,3.19,0.38,9.8,GOOD
6.3,0.41,0.22,7.3,0.035,23,117,2,3.2,0.39,11.94,GOOD
6.1,0.29,0.27,1.7,0.024,13,76,1,3.21,0.51,12.6,GOOD
9,0.2,0.33,3.5,0.049,10,40,2,3.14,0.36,9.8,GOOD
6,0.33,0.2,1.8,0.031,49,159,2,3.41,0.53,11,GOOD
6.9,0.23,0.34,4,0.047,24,128,2,3.2,0.52,9.7,GOOD
6.8,0.69,0,5.6,0.124,21,58,2,3.46,0.72,10.2,BAD
7.2,0.21,1,1.1,0.154,46,114,2,2.95,0.43,9.2,GOOD
6.1,0.31,0.26,2.2,0.051,28,167,2,3.37,0.47,10.4,GOOD
8.6,0.23,0.46,1,0.054,9,72,2,2.95,0.49,9.1,GOOD
6.6,0.55,0.01,2.7,0.034,56,122,2,3.15,0.3,11.9,BAD
9.2,0.46,0.23,2.6,0.091,18,77,2,3.15,0.51,9.4,BAD
11.9,0.43,0.66,3.1,0.109,10,23,2,3.15,0.85,10.4,GOOD
8.2,0.23,0.37,1.3,0.042,39,117,2,2.99,0.36,10,BAD
7.2,0.5,0.18,2.1,0.071,12,31,2,3.52,0.72,9.6,GOOD
6.9,0.18,0.38,8.1,0.049,44,176,2,3.3,0.54,9.8,GOOD
6,0.18,0.31,1.4,0.036,14,75,2,3.34,0.58,11.1,GOOD
7.9,0.21,0.39,2,0.057,21,138,2,3.05,0.52,10.9,BAD
7.7,0.18,0.3,1.2,0.046,49,199,2,3.03,0.38,9.3,BAD
7.3,0.26,0.24,1.7,0.05,10,112,2,3.11,0.43,9.9,BAD
7.9,0.51,0.36,6.2,0.051,30,173,2,3.09,0.53,9.7,BAD
6.5,0.38,0.26,5.2,0.042,33,112,2,3.06,0.5,12.3,GOOD
7.5,0.27,0.36,7,0.036,45,164,2,3.03,0.33,11,BAD
9.2,0.43,0.49,2.4,0.086,23,116,2,3.23,0.64,9.5,BAD
6.5,0.34,0.36,11,0.052,53,247,2,3.44,0.55,9.3,GOOD
8.6,0.315,0.4,2.2,0.079,3,6,2,3.27,0.67,11.9,GOOD
10.3,0.25,0.48,2.2,0.042,28,164,2,3.19,0.59,9.7,BAD
7.1,0.37,0.67,10.5,0.045,49,155,2,3.16,0.44,8.7,BAD
7.2,0.35,0.25,5.6,0.032,23,120,2,2.93,0.66,10.3,GOOD
6.5,0.32,0.23,1.2,0.054,39,208,2,3.18,0.46,9.9,GOOD
7,0.17,0.31,4.8,0.034,34,132,2,3.36,0.48,9.6,GOOD
7.3,0.28,0.36,12.7,0.04,38,140,2,3.3,0.79,9.6,GOOD
6.7,0.21,0.36,8.55,0.02,20,86,2,3.19,0.22,13.4,GOOD
7.1,0.35,0.24,15.4,0.055,46,198,2,3.12,0.49,8.8,BAD
9,0.29,0.34,12.1,0.03,34,177,2,3.13,0.47,10.6,BAD
7.2,0.62,0.06,2.7,0.077,15,85,2,3.51,0.54,9.5,BAD
8.1,0.72,0.09,2.8,0.084,18,49,2,3.43,0.72,11.1,GOOD
7.3,0.34,0.39,5.2,0.04,45,163,2,3.3,0.47,12.4,GOOD
7.6,0.22,0.34,9.7,0.035,26,143,2,3.08,0.49,9.8,GOOD
7.5,0.24,0.29,1.1,0.046,34,84,2,3.04,0.39,11.45,GOOD
7,0.44,0.24,12.1,0.056,68,210,2,3.05,0.5,9.5,BAD
5.6,0.2,0.66,10.2,0.043,78,175,2,2.98,0.43,10.4,GOOD
5.5,0.335,0.3,2.5,0.071,27,128,2,3.14,0.51,9.6,GOOD
7.8,0.5,0.12,1.8,0.178,6,21,2,3.28,0.87,9.8,GOOD
7.6,0.16,0.41,1.9,0.047,27,151,2,3.2,0.53,10.1,GOOD
6.7,0.19,0.39,1,0.032,14,71,1,3.31,0.38,13,GOOD
7,0.24,0.36,4.9,0.083,10,133,2,3.33,0.37,10.8,GOOD
7.4,0.25,0.28,7.25,0.028,14,78,2,2.94,0.37,11.5,GOOD
8.2,0.39,0.38,1.5,0.058,10,29,2,3.26,0.74,9.8,BAD
7.3,0.21,0.29,1.6,0.034,29,118,2,3.3,0.5,11,GOOD
5.8,0.36,0.38,0.9,0.037,3,75,2,3.28,0.34,11.4,BAD
7.1,0.46,0.23,13.7,0.045,44,192,2,3.11,0.53,9.4,BAD
6.1,0.44,0.28,4.25,0.032,43,132,2,3.26,0.47,11.3,GOOD
5.3,0.36,0.27,6.3,0.028,40,132,2,3.37,0.4,11.6,GOOD
7,0.43,0.36,1.6,0.089,14,37,2,3.34,0.56,9.2,GOOD
7.2,0.4,0.49,1.1,0.048,11,138,2,3.01,0.42,9.3,BAD
7.9,0.29,0.39,6.7,0.036,6,117,2,3.12,0.42,10.7,BAD
7.9,0.19,0.45,1.5,0.045,17,96,2,3.13,0.39,11,GOOD
8.9,0.48,0.53,4,0.101,3,10,2,3.21,0.59,12.1,GOOD
5.5,0.32,0.45,4.9,0.028,25,191,2,3.51,0.49,11.5,GOOD
9.6,0.77,0.12,2.9,0.082,30,74,2,3.3,0.64,10.4,GOOD
6.1,0.28,0.35,12.8,0.048,63,229,2,3.08,0.4,8.9,BAD
7.2,0.39,0.32,1.8,0.065,34,60,2,3.46,0.78,9.9,BAD
8,0.57,0.39,3.9,0.034,22,122,2,3.29,0.67,12.8,GOOD
5.8,0.31,0.32,4.5,0.024,28,94,1,3.25,0.52,13.7,GOOD
8.1,0.24,0.33,10.2,0.048,46,141,2,3.16,0.48,10.3,GOOD
6.7,0.13,0.32,3.7,0.017,32,99,2,3.12,0.44,10,GOOD
6,0.34,0.66,15.9,0.046,26,164,2,3.14,0.5,8.8,GOOD
4.7,0.145,0.29,1,0.042,35,90,2,3.76,0.49,11.3,GOOD
